Mon Sep  2 18:04:27 2024    profiler_stats.prof

         4895102 function calls (4595255 primitive calls) in 5.436 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.024    0.024 untyped_passes.py:955(gen_switch)
       33    0.000    0.000    0.024    0.001 untyped_passes.py:138(run_pass)
        1    0.000    0.000    0.024    0.024 ir_utils.py:1687(compile_to_numba_ir)
       12    0.000    0.000    0.023    0.002 functions.py:93(format)
      105    0.000    0.000    0.023    0.000 module.py:167(link_in)
       51    0.000    0.000    0.023    0.000 errors.py:344(highlight)
      284    0.001    0.000    0.023    0.000 transforms.py:353(canonicalize_cfg)
      666    0.001    0.000    0.023    0.000 targetconfig.py:187(__hash__)
    52334    0.015    0.000    0.023    0.000 event.py:265(on_start)
        1    0.000    0.000    0.023    0.023 ir_utils.py:1756(get_ir_of_code)
      284    0.001    0.000    0.023    0.000 transforms.py:283(canonicalize_cfg_single_backedge)
      584    0.002    0.000    0.022    0.000 builder.py:297(if_then)
     2117    0.004    0.000    0.022    0.000 builder.py:967(extract_value)
      502    0.001    0.000    0.022    0.000 inspect.py:3333(signature)
    82/70    0.000    0.000    0.022    0.000 {method 'throw' of 'generator' objects}
      538    0.001    0.000    0.022    0.000 pprint.py:239(_pprint_list)
       68    0.000    0.000    0.022    0.000 base.py:1100(get_abi_sizeof)
     5480    0.007    0.000    0.022    0.000 weakref.py:414(__getitem__)
       25    0.000    0.000    0.022    0.001 callconv.py:520(unpack_exception)
      510    0.001    0.000    0.022    0.000 context.py:263(resolve_getattr)
       27    0.000    0.000    0.022    0.001 codegen.py:1032(scan_defined_symbols)
       28    0.000    0.000    0.022    0.001 errors.py:559(add_context)
      502    0.001    0.000    0.022    0.000 inspect.py:3071(from_callable)
       68    0.000    0.000    0.022    0.000 types.py:48(get_abi_size)
    11880    0.012    0.000    0.022    0.000 _utils.py:24(deduplicate)
 1082/538    0.003    0.000    0.021    0.000 pprint.py:416(_format_items)
  506/502    0.004    0.000    0.021    0.000 inspect.py:2491(_signature_from_callable)
       27    0.000    0.000    0.021    0.001 lowering.py:342(init)
     2560    0.004    0.000    0.021    0.000 ansitowin32.py:49(isatty)
       27    0.002    0.000    0.021    0.001 lowering.py:358(_find_singly_assigned_variable)
      467    0.003    0.000    0.020    0.000 values.py:936(__init__)
  960/841    0.002    0.000    0.020    0.000 abstract.py:61(__call__)
     1248    0.001    0.000    0.020    0.000 lowering.py:1412(_alloca_var)
       68    0.001    0.000    0.019    0.000 types.py:33(_get_ll_pointer_type)
     9340    0.007    0.000    0.019    0.000 contextlib.py:299(helper)
     1675    0.003    0.000    0.019    0.000 cpu_options.py:122(encode)
117857/114219    0.018    0.000    0.019    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.019    0.010 builtins.py:460(generic)
       35    0.002    0.000    0.019    0.001 interpreter.py:982(peep_hole_delete_with_exit)
      129    0.000    0.000    0.018    0.000 inline_closurecall.py:1464(match)
      834    0.001    0.000    0.018    0.000 module.py:240(_next)
    48731    0.011    0.000    0.018    0.000 {built-in method builtins.issubclass}
      128    0.002    0.000    0.018    0.000 inline_closurecall.py:1477(_inline_const_arraycall)
       95    0.000    0.000    0.018    0.000 lowering.py:1531(alloca)
      159    0.000    0.000    0.018    0.000 static_raise.py:46(match)
4975/4961    0.004    0.000    0.018    0.000 context.py:561(can_convert)
       15    0.000    0.000    0.018    0.001 pythonapi.py:1426(to_native_value)
      101    0.002    0.000    0.018    0.000 cpu.py:60(load_additional_registries)
       54    0.000    0.000    0.018    0.000 base.py:412(declare_function)
      446    0.000    0.000    0.018    0.000 context.py:378(incref)
        7    0.000    0.000    0.017    0.002 static_raise.py:39(_try_infer_constant)
    24962    0.011    0.000    0.017    0.000 event.py:66(_guard_kind)
      603    0.001    0.000    0.017    0.000 cgutils.py:417(get_or_insert_function)
      588    0.014    0.000    0.017    0.000 analysis.py:91(liveness)
     3335    0.007    0.000    0.017    0.000 base.py:123(_match)
       95    0.000    0.000    0.017    0.000 lowering.py:1536(alloca_lltype)
     1706    0.003    0.000    0.017    0.000 event.py:422(trigger_event)
       35    0.000    0.000    0.017    0.000 ir.py:1623(dump_to_string)
       39    0.000    0.000    0.017    0.000 errors.py:341(indicate)
30527/18199    0.009    0.000    0.017    0.000 {built-in method builtins.hash}
       35    0.000    0.000    0.017    0.000 ir.py:1597(dump)
    98962    0.017    0.000    0.017    0.000 {built-in method time.perf_counter}
    87312    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
      467    0.002    0.000    0.017    0.000 values.py:973(descr_prototype)
     2117    0.003    0.000    0.016    0.000 instructions.py:666(__init__)
