,NAME,PROPNAME,STORY,X,Y,POINT 2X,POINT 2Y,Label,Z Base,Level,ret,Section
688,779,CC_1000x500_N80,L16,-18.02,5.8,75.4,-18.02,C28,78.85000000000001,L16,0,CC_1000x500_N80
689,780,CC_1000x500_N80,L15,-21.96,5.8,71.95,-21.96,C27,75.4,L15,0,CC_1000x500_N80
690,781,CC_1000x500_N80,L15,-18.02,5.8,71.95,-18.02,C28,75.4,L15,0,CC_1000x500_N80
691,782,CC_1000x500_N80,L14,-21.96,5.8,68.5,-21.96,C27,71.95,L14,0,CC_1000x500_N80
692,783,CC_1000x500_N80,L14,-18.02,5.8,68.5,-18.02,C28,71.95,L14,0,CC_1000x500_N80
693,784,CC_1000x500_N80,L13,-21.96,5.8,65.05,-21.96,C27,68.5,L13,0,CC_1000x500_N80
694,785,CC_1000x500_N80,L13,-18.02,5.8,65.05,-18.02,C28,68.5,L13,0,CC_1000x500_N80
695,786,CC_1000x500_N80,L12,-21.96,5.8,61.6,-21.96,C27,65.05,L12,0,CC_1000x500_N80
696,795,CC_1000x500_N80,L12,-18.02,5.8,61.6,-18.02,C28,65.05,L12,0,CC_1000x500_N80
697,796,CC_1000x500_N80,L11,-21.96,5.8,58.15,-21.96,C27,61.6,L11,0,CC_1000x500_N80
698,797,CC_1000x500_N80,L11,-18.02,5.8,58.15,-18.02,C28,61.6,L11,0,CC_1000x500_N80
699,798,CC_1000x500_N80,L10,-21.96,5.8,54.7,-21.96,C27,58.15,L10,0,CC_1000x500_N80
700,799,CC_1000x500_N80,L10,-18.02,5.8,54.7,-18.02,C28,58.15,L10,0,CC_1000x500_N80
701,800,CC_1000x500_N80,L9,-21.96,5.8,51.25,-21.96,C27,54.7,L9,0,CC_1000x500_N80
702,801,CC_1000x500_N80,L9,-18.02,5.8,51.25,-18.02,C28,54.7,L9,0,CC_1000x500_N80
703,802,CC_1000x500_N80,L8,-21.96,5.8,47.800000000000004,-21.96,C27,51.25,L8,0,CC_1000x500_N80
704,803,CC_1000x500_N80,L8,-18.02,5.8,47.800000000000004,-18.02,C28,51.25,L8,0,CC_1000x500_N80
705,856,CC_1000x500_N80,L7,-21.96,5.8,44.35,-21.96,C27,47.800000000000004,L7,0,CC_1000x500_N80
706,857,CC_1000x500_N80,L7,-18.02,5.8,44.35,-18.02,C28,47.800000000000004,L7,0,CC_1000x500_N80
707,40,CC_500x500_N50,L34 RTU,-4.085,0.0,138.8,-4.085,C29,141.5,L34 RTU,0,CC_500x500_N50
708,110,CC_500x500_N50,L34 RTU,4.084999999999998,0.0,138.8,4.084999999999998,C39,141.5,L34 RTU,0,CC_500x500_N50
709,111,CC_500x500_N50,ROOF,-4.085,0.0,146.65,-4.085,C29,154.45000000000002,ROOF,0,CC_500x500_N50
710,934,CC_500x500_N50,ROOF,4.084999999999998,0.0,146.65,4.084999999999998,C39,154.45000000000002,ROOF,0,CC_500x500_N50
711,935,CC_500x500_N50,L35 RT,-4.085,0.0,141.5,-4.085,C29,146.65,L35 RT,0,CC_500x500_N50
712,940,CC_500x500_N50,L35 RT,4.084999999999998,0.0,141.5,4.084999999999998,C39,146.65,L35 RT,0,CC_500x500_N50
